"SEX" "LENGTH" "DIAM" "HEIGHT" "WHOLE" "SHUCK" "VISCERA" "SHELL" "RINGS" "CLASS" "VOLUME" "DENSITY"
"3852" "F" 0.46 0.375 0.12 0.4915 0.2205 0.088 0.17 7 "A2" 0.0207 23.743961352657
"788" "F" 0.505 0.39 0.16 0.644 0.2475 0.2025 0.1635 9 "A3" 0.031512 20.4366590505204
"3867" "F" 0.525 0.43 0.125 0.813 0.3315 0.166 0.1775 12 "A4" 0.02821875 28.8106312292359
"1127" "F" 0.56 0.44 0.155 0.6405 0.336 0.1765 0.245 8 "A2" 0.038192 16.7705278592375
"2516" "M" 0.66 0.535 0.2 1.791 0.733 0.318 0.54 15 "A6" 0.07062 25.3610875106202
"3411" "I" 0.465 0.37 0.1 0.5055 0.234 0.11 0.14 7 "A2" 0.017205 29.3809938971229
"424" "I" 0.26 0.2 0.07 0.092 0.037 0.02 0.03 6 "A1" 0.00364 25.2747252747253
"467" "M" 0.655 0.53 0.195 1.388 0.567 0.2735 0.41 13 "A5" 0.06769425 20.5039571307755
"2479" "F" 0.33 0.26 0.08 0.2 0.0625 0.05 0.07 9 "A3" 0.006864 29.1375291375291
"4079" "F" 0.57 0.45 0.15 0.9645 0.531 0.189 0.209 9 "A3" 0.038475 25.0682261208577
"3048" "F" 0.68 0.52 0.185 1.494 0.615 0.3935 0.406 11 "A4" 0.065416 22.8384493090375
"3547" "F" 0.6 0.485 0.145 0.776 0.3545 0.1585 0.239 9 "A3" 0.042195 18.3908045977012
"258" "F" 0.635 0.505 0.17 1.415 0.605 0.297 0.365 15 "A6" 0.05451475 25.9562778880945
"1678" "F" 0.63 0.5 0.18 1.1965 0.514 0.2325 0.3995 8 "A2" 0.0567 21.1022927689594
"2560" "M" 0.53 0.41 0.14 0.681 0.3095 0.1415 0.1835 6 "A1" 0.030422 22.3851160344488
"318" "F" 0.58 0.455 0.155 0.8365 0.315 0.1385 0.32 18 "A6" 0.0409045 20.4500727303842
"4054" "M" 0.61 0.365 0.155 1.0765 0.488 0.249 0.27 9 "A3" 0.03451075 31.1931789369979
"923" "I" 0.425 0.315 0.1 0.377 0.1645 0.072 0.105 6 "A1" 0.0133875 28.1605975723623
"181" "M" 0.64 0.51 0.175 1.368 0.515 0.266 0.57 21 "A6" 0.05712 23.9495798319328
"2501" "F" 0.565 0.44 0.15 0.983 0.4475 0.2355 0.2485 9 "A3" 0.03729 26.3609546795388
"2866" "F" 0.535 0.445 0.125 0.8725 0.417 0.199 0.24 8 "A2" 0.029759375 29.3184920718261
